gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,atq,costat
001045,2022-12-31,2022,4,INDL,C,D,STD,AAL,USD,2022Q4,2022Q4,64716.0000,A
001045,2023-03-31,2023,1,INDL,C,D,STD,AAL,USD,2023Q1,2023Q1,66786.0000,A
001045,2023-06-30,2023,2,INDL,C,D,STD,AAL,USD,2023Q2,2023Q2,67260.0000,A
001045,2023-09-30,2023,3,INDL,C,D,STD,AAL,USD,2023Q3,2023Q3,65711.0000,A
001075,2010-03-31,2010,1,INDL,C,D,STD,PNW,USD,2010Q1,2010Q1,11934.9190,A
001075,2010-06-30,2010,2,INDL,C,D,STD,PNW,USD,2010Q2,2010Q2,12158.2000,A
001075,2010-09-30,2010,3,INDL,C,D,STD,PNW,USD,2010Q3,2010Q3,12435.4870,A
001075,2010-12-31,2010,4,INDL,C,D,STD,PNW,USD,2010Q4,2010Q4,12362.7030,A
001075,2011-03-31,2011,1,INDL,C,D,STD,PNW,USD,2011Q1,2011Q1,12302.8900,A
001075,2011-06-30,2011,2,INDL,C,D,STD,PNW,USD,2011Q2,2011Q2,12474.0800,A
001075,2011-09-30,2011,3,INDL,C,D,STD,PNW,USD,2011Q3,2011Q3,13150.3630,A
001075,2011-12-31,2011,4,INDL,C,D,STD,PNW,USD,2011Q4,2011Q4,13111.0180,A
001075,2012-03-31,2012,1,INDL,C,D,STD,PNW,USD,2012Q1,2012Q1,13183.9140,A
001075,2012-06-30,2012,2,INDL,C,D,STD,PNW,USD,2012Q2,2012Q2,13214.4070,A
001075,2012-09-30,2012,3,INDL,C,D,STD,PNW,USD,2012Q3,2012Q3,13460.2860,A
001075,2012-12-31,2012,4,INDL,C,D,STD,PNW,USD,2012Q4,2012Q4,13379.6150,A
001075,2013-03-31,2013,1,INDL,C,D,STD,PNW,USD,2013Q1,2013Q1,13300.9270,A
001075,2013-06-30,2013,2,INDL,C,D,STD,PNW,USD,2013Q2,2013Q2,13562.6940,A
001075,2013-09-30,2013,3,INDL,C,D,STD,PNW,USD,2013Q3,2013Q3,13822.6710,A
001075,2013-12-31,2013,4,INDL,C,D,STD,PNW,USD,2013Q4,2013Q4,13508.6860,A
001075,2014-03-31,2014,1,INDL,C,D,STD,PNW,USD,2014Q1,2014Q1,13450.7970,A
001075,2014-06-30,2014,2,INDL,C,D,STD,PNW,USD,2014Q2,2014Q2,13690.3170,A
001075,2014-09-30,2014,3,INDL,C,D,STD,PNW,USD,2014Q3,2014Q3,13980.3480,A
001075,2014-12-31,2014,4,INDL,C,D,STD,PNW,USD,2014Q4,2014Q4,14313.5320,A
001075,2015-03-31,2015,1,INDL,C,D,STD,PNW,USD,2015Q1,2015Q1,14435.7030,A
001075,2015-06-30,2015,2,INDL,C,D,STD,PNW,USD,2015Q2,2015Q2,14701.4830,A
001075,2015-09-30,2015,3,INDL,C,D,STD,PNW,USD,2015Q3,2015Q3,14875.0180,A
001075,2015-12-31,2015,4,INDL,C,D,STD,PNW,USD,2015Q4,2015Q4,15028.2580,A
001075,2016-03-31,2016,1,INDL,C,D,STD,PNW,USD,2016Q1,2016Q1,15185.1010,A
001075,2016-06-30,2016,2,INDL,C,D,STD,PNW,USD,2016Q2,2016Q2,15538.5650,A
001075,2016-09-30,2016,3,INDL,C,D,STD,PNW,USD,2016Q3,2016Q3,15805.7260,A
001075,2016-12-31,2016,4,INDL,C,D,STD,PNW,USD,2016Q4,2016Q4,16004.2530,A
001075,2017-03-31,2017,1,INDL,C,D,STD,PNW,USD,2017Q1,2017Q1,16192.8250,A
001075,2017-06-30,2017,2,INDL,C,D,STD,PNW,USD,2017Q2,2017Q2,16669.7270,A
001075,2017-09-30,2017,3,INDL,C,D,STD,PNW,USD,2017Q3,2017Q3,16977.8670,A
001075,2017-12-31,2017,4,INDL,C,D,STD,PNW,USD,2017Q4,2017Q4,17019.0820,A
001075,2018-03-31,2018,1,INDL,C,D,STD,PNW,USD,2018Q1,2018Q1,17148.3060,A
001075,2018-06-30,2018,2,INDL,C,D,STD,PNW,USD,2018Q2,2018Q2,17492.1730,A
001075,2018-09-30,2018,3,INDL,C,D,STD,PNW,USD,2018Q3,2018Q3,17671.9550,A
001075,2018-12-31,2018,4,INDL,C,D,STD,PNW,USD,2018Q4,2018Q4,17664.2020,A
001075,2019-03-31,2019,1,INDL,C,D,STD,PNW,USD,2019Q1,2019Q1,17854.1070,A
001075,2019-06-30,2019,2,INDL,C,D,STD,PNW,USD,2019Q2,2019Q2,18165.6660,A
001075,2019-09-30,2019,3,INDL,C,D,STD,PNW,USD,2019Q3,2019Q3,18377.5660,A
001075,2019-12-31,2019,4,INDL,C,D,STD,PNW,USD,2019Q4,2019Q4,18479.2470,A
001075,2020-03-31,2020,1,INDL,C,D,STD,PNW,USD,2020Q1,2020Q1,18561.7600,A
001075,2020-06-30,2020,2,INDL,C,D,STD,PNW,USD,2020Q2,2020Q2,19307.3880,A
001075,2020-09-30,2020,3,INDL,C,D,STD,PNW,USD,2020Q3,2020Q3,19751.4210,A
001075,2020-12-31,2020,4,INDL,C,D,STD,PNW,USD,2020Q4,2020Q4,20020.4210,A
001075,2021-03-31,2021,1,INDL,C,D,STD,PNW,USD,2021Q1,2021Q1,20184.6580,A
001075,2021-06-30,2021,2,INDL,C,D,STD,PNW,USD,2021Q2,2021Q2,21061.5780,A
001075,2021-09-30,2021,3,INDL,C,D,STD,PNW,USD,2021Q3,2021Q3,21536.4240,A
001075,2021-12-31,2021,4,INDL,C,D,STD,PNW,USD,2021Q4,2021Q4,22003.2220,A
001075,2022-03-31,2022,1,INDL,C,D,STD,PNW,USD,2022Q1,2022Q1,22200.9540,A
